SNR_dB,PER
22.700000000000003,0.0
22.8,0.0
22.9,0.0
23.0,0.0
23.1,0.0
23.200000000000003,0.0
23.3,0.0
23.4,0.0
23.5,0.0
23.6,0.0
23.700000000000003,0.0
23.8,0.0
23.9,0.0
24.0,0.0
24.1,0.0
24.200000000000003,0.0
24.3,0.0
24.4,0.0
24.5,0.0
24.6,0.0
24.700000000000003,0.0
24.8,0.0
24.9,0.0
25.0,0.0
25.1,0.0
25.200000000000003,0.0
25.3,0.0
25.4,0.0
25.5,0.0
25.6,0.0
25.700000000000003,0.0
25.8,0.0
25.9,0.0
26.0,0.0
26.1,0.0
26.200000000000003,0.0
26.3,0.0
26.4,0.0
26.5,0.0
26.6,0.0
26.700000000000003,0.0
26.8,0.0
26.9,0.0
27.0,0.0
27.1,0.0
27.200000000000003,0.0
27.3,0.0
27.4,0.0
27.5,0.0
27.6,0.0
27.700000000000003,0.0
27.8,0.0
27.9,0.0
28.0,0.0
28.1,0.0
28.200000000000003,0.0
28.3,0.0
28.4,0.0
28.5,0.0
28.6,0.0
28.700000000000003,0.0
28.8,0.0
28.9,0.0
29.0,0.0
29.1,0.0
29.200000000000003,0.0
29.3,0.0
29.4,0.0
29.5,0.0
29.6,0.0
29.700000000000003,0.0
29.8,0.0
29.9,0.0
30.0,0.0
30.1,0.0
30.200000000000003,0.0
30.3,0.0
30.4,0.0
30.5,0.0
30.6,0.0
30.700000000000003,0.0
30.8,0.0
30.9,0.0
31.0,0.0
31.1,0.0
31.200000000000003,0.0
31.3,0.0
31.4,0.0
31.5,0.0
31.6,0.0
31.700000000000003,0.0
31.8,0.0
31.9,0.0
32.0,0.0
32.1,0.0
32.2,0.0
32.300000000000004,0.0
32.4,0.0
32.5,0.0
32.6,0.0
32.7,0.0
32.800000000000004,0.0
32.9,0.0
33.0,0.0
33.1,0.0
33.2,0.0
33.300000000000004,0.0
33.4,0.0
33.5,0.0
33.6,0.0
33.7,0.0
33.800000000000004,0.0
33.9,0.0
34.0,0.0
34.1,0.0
34.2,0.0
34.300000000000004,0.0
34.4,0.0
34.5,0.0
34.6,0.0
34.7,0.0
34.800000000000004,0.0
34.9,0.0
35.0,0.0
35.1,0.0
35.2,0.0
35.300000000000004,0.0
35.4,0.0
35.5,0.0
35.6,0.0
35.7,0.0
35.800000000000004,0.0
35.9,0.0
36.0,0.0
36.1,0.0
36.2,0.0
36.3,0.0
36.4,0.0
36.5,0.0
36.6,0.0
36.7,0.0
36.8,0.0
36.9,0.0
37.0,0.0
37.1,0.0
37.2,0.0
37.3,0.0
37.4,0.0
37.5,0.0
37.6,0.0
37.7,0.0
37.8,0.0
37.9,0.0
38.0,0.0
38.1,0.0
38.2,0.0
38.3,0.0
38.400000000000006,0.0
38.5,0.0
38.6,0.0
38.7,0.0
38.8,0.0
38.900000000000006,0.0
39.0,0.0
39.1,0.0
39.2,0.0
39.3,0.0
39.400000000000006,0.0
39.5,0.0
39.6,0.0
39.7,0.0
39.8,0.0
39.900000000000006,0.0
40.0,0.0
40.1,0.0
40.2,0.0
40.3,0.0
40.400000000000006,0.0
40.5,0.0
40.6,0.0
40.7,0.0
40.8,0.0
40.900000000000006,0.0
41.0,0.0
41.1,0.0
41.2,0.0
41.3,0.0
41.400000000000006,0.0
41.5,0.0
41.6,0.0
41.7,0.0
41.8,0.0
41.900000000000006,0.0
42.0,0.0
42.1,0.0
42.2,0.0
42.3,0.0
42.400000000000006,0.0
42.5,0.0
42.6,0.0
42.7,0.0
42.8,0.0
42.900000000000006,0.0
43.0,0.0
43.1,0.0
43.2,0.0
43.3,0.0
43.400000000000006,0.0
43.5,0.0
43.6,0.0
43.7,0.0
43.8,0.0
43.900000000000006,0.0
44.0,0.0
44.1,0.0
44.2,0.0
44.3,0.0
44.400000000000006,0.0
44.5,0.0
44.6,0.0
44.7,0.0
44.8,0.0
44.900000000000006,0.0
45.0,0.0
45.1,0.0
45.2,0.0
45.3,0.0
45.400000000000006,0.0
45.5,0.0
45.6,0.0
45.7,0.0
45.8,0.0
45.900000000000006,0.0
46.0,0.0
46.1,0.0
46.2,0.0
46.3,0.0
46.400000000000006,0.0
46.5,0.0
46.6,0.0
46.7,0.0
46.8,0.0
46.900000000000006,0.0
47.0,0.0
47.1,0.0
47.2,0.0
47.3,0.0
47.400000000000006,0.0
47.5,0.0
47.6,0.0
47.7,0.0
47.8,0.0
47.900000000000006,0.0
48.0,0.0
48.1,0.0
48.2,0.0
48.3,0.0
48.400000000000006,0.0
48.5,0.0
48.6,0.0
48.7,0.0
48.8,0.0
48.900000000000006,0.0
49.0,0.0
49.1,0.0
49.2,0.0
49.3,0.0
49.400000000000006,0.0
49.5,0.0
49.6,0.0
49.7,0.0
49.8,0.0
49.900000000000006,0.0
50.0,0.0
